label_percentile,model,auc_test_mean,auc_test_std,auc_val_mean,auc_val_std,ap_test_mean,ap_test_std,brier_test_mean,brier_test_std,p10_mean,p10_std,r10_mean,r10_std,p20_mean,p20_std,r20_mean,r20_std,ndcg10_mean,ndcg10_std,ndcg20_mean,ndcg20_std,hit10_mean,hit10_std,hit20_mean,hit20_std,spearman_mean,spearman_std,kendall_tau_mean,kendall_tau_std,train_time_sec_mean,train_time_sec_std,infer_test_time_sec_mean,infer_test_time_sec_std,test_latency_ms_per_sample_mean,test_latency_ms_per_sample_std,model_artifact_size_bytes_mean,model_artifact_size_bytes_std,model_param_count_mean,model_param_count_std
60,LR,0.7971920564622136,0.0,0.8199421407003445,0.0,0.6470706005383433,0.0,0.16923264172121227,0.0,0.7544802867383512,0.0,0.2269541778963507,0.0,0.6884512085944494,0.0,0.41455525606245525,0.0,0.7721016363068304,0.0,0.7083772547354671,0.0,1.0,0.0,1.0,0.0,0.48483272984070674,0.0,0.3958996919173181,0.0,108.83378886120627,1.239074599757267,0.009033594001084565,0.0006321342981819658,0.00161689529283776,0.00011314377987864076,9393.0,0.0,1085.0,0.0
60,XGB,0.7931888843628212,0.00019155040110273484,0.8226246618150383,0.00128008350497778,0.6432878730606821,0.0023403221791764993,0.17085295021533967,0.00031389861724419815,0.7526881720430108,0.005667164265534759,0.2264150943384021,0.0017047318922648771,0.6807520143240824,0.004458334681464185,0.4099191374640975,0.0026846144685545247,0.7724534285802117,0.004723109844795263,0.7028031252224476,0.003778724151495191,1.0,0.0,1.0,0.0,0.4783020409950101,0.00031249120666877674,0.3905669746498726,0.0002551732266917089,136.94357734940712,12.30164363957742,0.008255444420501589,0.0006587304154048472,0.0014776166852517613,0.0001179041373554407,2292037.8,182393.24472742947,,
60,MLP,0.7906212461323788,0.003438042165840015,0.8210967738803528,0.0016164694443290488,0.6421984612277679,0.003973640240587422,0.173023784160614,0.002054331617727453,0.7551971326164875,0.01072277799401547,0.2271698113195301,0.0032255041081554704,0.6760966875559535,0.003871396295512897,0.40711590296276495,0.002331185801652068,0.7737115787140405,0.01006432111374311,0.698661499970475,0.0037378495758646083,1.0,0.0,1.0,0.0,0.47411325117785486,0.005608748058086144,0.38714649847694693,0.004579938492705695,5.710688963404391,1.7951470219019785,0.0047641957877203826,0.0006129484876149955,0.000852728796799782,0.00010970977046983988,1180614.0,0.0,294273.0,0.0
60,RF,0.7749877073926095,0.0012311627629713307,0.8035111056576699,0.0007453542849340027,0.6201340151249026,0.0022257274548472283,0.1930325803730085,0.00018269745815083964,0.7372759856630824,0.007873076213795242,0.22177897574004435,0.002368289233031843,0.6696508504923904,0.00651755585432452,0.4032345013455352,0.003924587541369965,0.7459099517077163,0.00650284172185573,0.6848557080449126,0.006216404003566655,1.0,0.0,1.0,0.0,0.4486090322868087,0.002008492454064728,0.3663205457291713,0.0016400717410974858,372.1980611733976,1.6308868105962837,0.1750732749933377,0.005278568740797369,0.03133582870831174,0.0009447948345798053,337391295.0,274957.7631564544,,
70,LR,0.8018418331280752,0.0,0.833045020612355,0.0,0.5524736179915868,0.0,0.1532307719020077,0.0,0.6415770609318996,0.0,0.26017441860276036,0.0,0.5658012533572068,0.0,0.4593023255780574,0.0,0.6652946339883673,0.0,0.5906270895786309,0.0,1.0,0.0,1.0,0.0,0.45049837214278565,0.0,0.3678632975112474,0.0,109.97980986619368,1.9477350215270222,0.008888268412556499,0.0009830547734296954,0.0015908839113220868,0.00017595395980484973,9393.0,0.0,1085.0,0.0
70,MLP,0.7978455167252986,0.0020974107380489966,0.8321364074549802,0.0013654821233833293,0.5476040661488943,0.002547400361496767,0.15080172419548035,0.002242856629943795,0.6347670250896058,0.01009009911129693,0.2574127906958037,0.0040917698430689,0.5589973142345569,0.004413162952145468,0.45377906976414406,0.0035824876580746144,0.6601575570136964,0.007800137992112148,0.5850414542312498,0.004008269190866471,1.0,0.0,1.0,0.0,0.4445338773793262,0.0031303816146769333,0.3629928768164618,0.002556183472870082,4.736591046792455,0.8317842224502024,0.0049708633916452525,0.0006434268696342621,0.0008897195975738773,0.00011516500261934167,1180614.0,0.0,294273.0,0.0
70,XGB,0.7976707426010503,0.0019555390303344668,0.832661862994855,0.0014320380746513308,0.548387696405788,0.005013943552807825,0.15217790603637696,0.0019106684205570813,0.6379928315412187,0.008114144389012014,0.25872093023067794,0.0032904742507527548,0.5568487018800358,0.004903514391272753,0.4520348837176451,0.003980541842305123,0.6629743293549121,0.007730736963160093,0.5830913567646294,0.005291171701810189,1.0,0.0,1.0,0.0,0.4442730273482368,0.0029186383507990208,0.36277990940432947,0.002383272579611002,115.40450766480062,14.591541023676962,0.00697821358917281,0.0014662859990199465,0.0012490090548009326,0.00026244603526399615,1828607.6,465778.1987129712,,
70,RF,0.7758863828400699,0.001393534977142095,0.8177257997212546,0.001364556187924057,0.5209835098803418,0.00264984464795906,0.1642232080996501,0.00015865976242598743,0.6204301075268817,0.0038852120768241654,0.2515988372074739,0.001575543850909962,0.5419874664279319,0.0042747847399510755,0.43997093022936073,0.003470155926228652,0.6402331320267342,0.00424623267772901,0.5649445951051559,0.004405363086670083,1.0,0.0,1.0,0.0,0.4117599110848998,0.00207984835299528,0.3362306696755608,0.0016983449169194974,369.26517668779707,2.0578462972994296,0.17071591238491238,0.004262693753351566,0.03055591773490467,0.0007629664852965021,309706143.0,251147.37283116957,,
80,XGB,0.8105939195093084,0.001463756116771066,0.8386304130389888,0.0017452474089781893,0.4476816045832835,0.003518531619925834,0.12129310369491578,0.002832551331271721,0.5093189964157706,0.014415109356408759,0.31896745229720574,0.009027644243306206,0.4236347358997314,0.004265399910321049,0.5310886644160371,0.005347308305022648,0.5414472517952078,0.011865471152241413,0.546734084354483,0.004808663856444395,1.0,0.0,1.0,0.0,0.3939197939557366,0.0018564513680191113,0.3216629869166018,0.0015159164050070778,115.59311186819104,14.645407081120652,0.007675342203583568,0.0012402978924886442,0.00137378596806579,0.00022199711696592887,1892387.6,407506.14742455113,,
80,LR,0.8101032088823118,0.0,0.8377783484405897,0.0,0.43982474208108985,0.0,0.13329812373214056,0.0,0.503584229390681,0.0,0.31537598203910916,0.0,0.42256042972247093,0.0,0.529741863069251,0.0,0.5334913038764845,0.0,0.543084574047907,0.0,1.0,0.0,1.0,0.0,0.39329743587041205,0.0,0.3211547490701073,0.0,117.30568094820482,1.393526490776029,0.00992870619520545,0.0006446262299223896,0.001777108680008135,0.00011537967244001958,9393.0,0.0,1085.0,0.0
