model,auc_test_mean,auc_test_std,auc_val_mean,auc_val_std,ap_test_mean,ap_test_std,brier_test_mean,brier_test_std,p10_mean,p10_std,r10_mean,r10_std,p20_mean,p20_std,r20_mean,r20_std,ndcg10_mean,ndcg10_std,ndcg20_mean,ndcg20_std,hit10_mean,hit10_std,hit20_mean,hit20_std,spearman_mean,spearman_std,kendall_tau_mean,kendall_tau_std,train_time_sec_mean,train_time_sec_std,infer_test_time_sec_mean,infer_test_time_sec_std,test_latency_ms_per_sample_mean,test_latency_ms_per_sample_std,model_artifact_size_bytes_mean,model_artifact_size_bytes_std,model_param_count_mean,model_param_count_std
XGB,0.8105939195093084,0.001463756116771066,0.8386304130389888,0.0017452474089781893,0.4476816045832835,0.003518531619925834,0.12129310369491578,0.002832551331271721,0.5093189964157706,0.014415109356408759,0.31896745229720574,0.009027644243306206,0.4236347358997314,0.004265399910321049,0.5310886644160371,0.005347308305022648,0.5414472517952078,0.011865471152241413,0.546734084354483,0.004808663856444395,1.0,0.0,1.0,0.0,0.3939197939557366,0.0018564513680191113,0.3216629869166018,0.0015159164050070778,99.83238590639084,12.926199166049482,0.006932159001007676,0.0011968011138799193,0.0012407658852707493,0.00021421176192588492,1892387.6,407506.14742455113,,
LR,0.8101032088823118,0.0,0.8377783484405897,0.0,0.43982474208108985,0.0,0.13329812373214056,0.0,0.503584229390681,0.0,0.31537598203910916,0.0,0.42256042972247093,0.0,0.529741863069251,0.0,0.5334913038764845,0.0,0.543084574047907,0.0,1.0,0.0,1.0,0.0,0.39329743587041205,0.0,0.3211547490701073,0.0,105.13379162879428,1.5614116563443792,0.008212184393778443,0.00043154594642423984,0.001469873705705825,7.724108581067484e-05,9393.0,0.0,1085.0,0.0
MLP,0.8067695218319864,0.0026793838173700102,0.8376695500604641,0.003043678007785911,0.440073498128719,0.0045534355234409865,0.13000601679086685,0.00963054251662625,0.5,0.00791376421713963,0.31313131312779874,0.004956094762193413,0.41790510295434197,0.0037664608716137028,0.5239057238998439,0.004721814583103574,0.5328337274448243,0.007877013131368588,0.5395954999090886,0.00438367003890726,1.0,0.0,1.0,0.0,0.38906939007494845,0.003398206643991318,0.31770225722318124,0.002774870751841035,5.102994263614528,0.9969754579874792,0.00427540079690516,0.00010057016111476717,0.0007652408800617791,1.8000744785174018e-05,1180614.0,0.0,294273.0,0.0
RF,0.7818148358466359,0.002305489379339156,0.8188812060882779,0.001842569843559862,0.41355365487106044,0.003556131977352152,0.12105556301874702,0.00014856204857623354,0.48028673835125446,0.010526290434113537,0.3007856341155916,0.0065922222919971175,0.4035810205908684,0.0030622437558616112,0.5059483726093609,0.00383897449524019,0.504483613258597,0.008912833642928022,0.5156159999436241,0.001697796294582579,1.0,0.0,1.0,0.0,0.35741988201814157,0.0029240041270160166,0.2918582443855688,0.0023876591617633404,349.67271596241045,2.818884711988869,0.13753267241409048,0.00020000738391516668,0.024616551353873365,3.5798708415101244e-05,257493375.6,313692.8077607135,,
