group_name,n_dims,auc_drop_mean,auc_drop_std,baseline_auc
embedding,1024,0.22480875621633728,0.0017032603416661598,0.8101032088823118
framing,9,0.03805291940797348,0.0009307236355569586,0.8101032088823118
topic,39,0.010593510822784103,0.000299387807836663,0.8101032088823118
channel_metadata,7,0.006583672232451453,0.0005590105926687908,0.8101032088823118
channel_context,2,0.004074176843200249,0.00013473172200452715,0.8101032088823118
topic_monthly,3,0.002328817705734362,4.700465785106647e-05,0.8101032088823118
