feature_set,keys,dim,auc_test_mean,auc_test_std,auc_val_mean,ap_test_mean,brier_test_mean,overfit_gap_mean
full_model,SEM+FRM+CTX,1084,0.8098663618964584,0.0,0.8376398648627535,0.4392426301764491,0.13338417711690612,0.002399351069936495
semantic_plus_framing,SEM+FRM,1075,0.804238676754293,0.0,0.833269749249561,0.4274842901651999,0.1742575621102671,-0.0027667010232326206
semantic_plus_channel,SEM+CTX,1072,0.7979475332541772,0.0,0.8331336802571846,0.4295564420320962,0.13474451290489411,0.010038850870608962
semantic_only,SEM,1063,0.7899160065542802,0.0,0.8272605562125438,0.42088518454781776,0.1771998947951881,0.006011494395663286
framing_only,FRM,12,0.6687105772852509,0.0,0.6782107524047141,0.2541082596593765,0.22429639148003794,-0.045508529219521865
context_only,C_CTX,2,0.5970938803136419,0.0,0.5908396877174014,0.1964359622382007,0.18849863849714266,0.002632123711520218
channel_only,CTX,9,0.5901048627482472,0.0,0.6067097637029856,0.19488308634592957,0.18218797868383382,0.012099065935790687
metadata_only,C_META,7,0.4739469510551282,0.0,0.48736752802978633,0.15918244661279443,0.25004183181089334,0.026166348194905376
