theory_family,n_dims,auc_drop_mean,auc_drop_std,baseline_auc
semantic_content,1063,0.23540226703912137,0.0010013240747514115,0.8101032088823118
framing_cues,12,0.04038173711370784,0.0004888641467040125,0.8101032088823118
contextual_channel_cues,9,0.0106578490756517,0.00034687115733665895,0.8101032088823118
