model,model_name,feature_set,embedding_dim,total_dim,best_C,auc_train,auc_val,auc_test,auc_test_ci_low,auc_test_ci_high,auc_test_bootstrap_mean,bootstrap_valid,overfit_gap,embed_time_sec,elapsed_sec
e5_small,intfloat/multilingual-e5-small,embedding_only,384,384,0.825404185268019,0.7716763499178645,0.8027503832799332,0.7717806017777625,0.7552199828431069,0.7875929398184435,0.7717773985015063,1000,-0.00010425185989804131,33.61244201660156,44.91302800178528
e5_base,intfloat/multilingual-e5-base,embedding_only,768,768,0.825404185268019,0.78059034771146,0.8155881660314412,0.7808099449922279,0.7641740755839733,0.7963646698683288,0.780770852782796,1000,-0.00021959728076792473,68.62721109390259,81.11967349052429
e5_large_instruct,intfloat/multilingual-e5-large-instruct,embedding_only,1024,1024,0.825404185268019,0.7952713146421657,0.8303980969657752,0.7910555488636125,0.7750788574826175,0.8066973858455848,0.7911011318428937,1000,0.004215765778553204,71.33252239227295,88.22713589668274
e5_large,intfloat/multilingual-e5-large,embedding_only,1024,1024,0.825404185268019,0.7891448100474023,0.8287036261108158,0.7875934243055198,0.7713992743116193,0.8025041377145822,0.7876666649437909,1000,0.001551385741882516,186.47620129585266,205.35288095474243
e5_small,intfloat/multilingual-e5-small,full_model,384,444,0.825404185268019,0.793935643754192,0.8161014784932872,0.7903799016093167,0.7749875859907319,0.804680565115408,0.7904552420666598,1000,0.003555742144875307,34.59968948364258,181.75486946105957
e5_base,intfloat/multilingual-e5-base,full_model,768,828,2.1544346900318843,0.8103298338084481,0.8276172046883865,0.7994015968888201,0.7847431218266739,0.8135265191616695,0.7992891101963469,1000,0.010928236919628076,67.38666677474976,353.5687036514282
e5_large_instruct,intfloat/multilingual-e5-large-instruct,full_model,1024,1084,0.825404185268019,0.8145744971422347,0.8422399342323734,0.8150392339063548,0.8006137202263065,0.8293227758166848,0.8151393250500117,1000,-0.00046473676412006615,68.23986530303955,408.02235746383667
e5_large,intfloat/multilingual-e5-large,full_model,1024,1084,0.825404185268019,0.8121447692298239,0.8377783484405897,0.8101032088823118,0.7956797875174515,0.8236296302793475,0.8102169629757333,1000,0.002041560347512128,187.962242603302,515.8965125083923
metadata_baseline,metadata_only,metadata_only,0,60,0.31622776601683794,0.668920596262322,0.7024485032836941,0.6953230009731999,0.6784660139315528,0.7126412159599804,0.6953744526834863,1000,-0.026402404710877847,0.0,74.38820767402649
